       "BETA",      "D2F(0)",
-0.1988377300, +0.0000000000,
-0.1900000000, +0.0856997000,
-0.1800000000, +0.1286362000,
-0.1600000000, +0.1907798400,
-0.1400000000, +0.2397359400,
-0.1000000000, +0.3192697500,
+0.0000000000, +0.4695999900,
+0.1000000000, +0.5870352200,
+0.2000000000, +0.6867081800,
+0.3000000000, +0.7747545800,
+0.4000000000, +0.8544212300,
+0.5000000000, +0.9276800400,
+0.6000000000, +0.9958364400,
+0.7000000000, +1.0598077730,
+0.8000000000, +1.1202676570,
+0.9000000000, +1.1777278190,
+1.0000000000, +1.2325876570,
+1.2000000000, +1.3357214750,
+1.6000000000, +1.5215139959,
+2.0000000000, +1.6872181692,
+2.3999999999, +1.8381744506,
